trial,cat,policy,init,final_codes,last_analysis,final,iters,converged,rate,traj,stopped,actions,actions_failed,wasted_iters,regressions,oscillations,declared,declared_cores,unsat_expected,unsat_tp,unsat_fp,unsat_fn,ms
T001,simple,rule-structured,5,,松脚村：不能建在水里 → 移动。,0,2,1,1,5>1>0,converged,5,0,0,1,0,0,,0,0,0,0,7433
T002,simple,rule-structured,4,,河道终止在洼地 → 填洼；大河数量不足 → 降低河流阈值；北锚：需要临海、需要位于河口 → 移动。,0,1,1,1,4>0,converged,3,0,0,0,0,0,,0,0,0,0,4439
T003,simple,rule-structured,2,,冷泉村多次移动失败 → 声明无法满足。,0,3,1,1,2>1>1>0,converged,4,1,1,1,0,1,phys.dry.S2=?,0,0,1,0,9055
T004,simple,rule-structured,2,,河道终止在洼地 → 填洼；大河数量不足 → 降低河流阈值。,0,1,1,1,2>0,converged,2,0,0,0,0,0,,0,0,0,0,3952
T005,simple,rule-structured,5,,鲸背港：位于北部 + 位于河口 无法同时满足 → 声明无法满足（建议改到东北、东、东南部）。,0,3,1,1,5>1>1>0,converged,6,1,1,1,0,2,spec.req.S1.river_mouth=region:N+river_mouth ; spec.region.S1=region:N+river_mouth,0,0,2,0,24102
T006,simple,rule-structured,7,,石梁港：位于西北部 + 位于河口 无法同时满足 → 声明无法满足（建议改到东北、东、东南部）。,0,3,1,1,7>4>1>0,converged,12,3,0,4,0,2,spec.req.S1.river_mouth=region:NW+river_mouth ; spec.region.S1=region:NW+river_mouth,0,0,2,0,26901
T007,simple,rule-structured,4,,铁门堡附近山地不够 → 抬高山脊；铁门堡：应在西北部 → 移动。,0,2,1,1,4>1>0,converged,6,1,0,1,0,0,,0,0,0,0,7891
T008,simple,rule-structured,2,,河道终止在洼地 → 填洼；大河数量不足 → 降低河流阈值。,0,1,1,1,2>0,converged,2,0,0,0,0,0,,0,0,0,0,4039
T009,simple,rule-structured,3,,冷泉村：不能建在水里 → 移动。,0,2,1,1,3>1>0,converged,4,0,0,1,0,0,,0,0,0,0,6292
T010,simple,rule-structured,4,,雾港多次移动失败 → 声明无法满足。,0,4,1,1,4>1>1>1>0,converged,8,3,2,1,0,1,spec.region.S1=?,0,0,1,0,12211
T011,simple,rule-structured,3,,河道终止在洼地 → 填洼；北部山地不足 → 抬高山脊；大河数量不足 → 降低河流阈值。,0,1,1,1,3>0,converged,3,0,0,0,0,0,,0,0,0,0,3979
T012,multi,rule-structured,5,,铁砧城多次移动失败 → 声明无法满足。,0,3,1,1,5>2>1>0,converged,9,2,0,2,0,1,spec.region.S1=?,0,0,1,0,11125
