id,case,kind,subject,type,region,constraint,rationale,label_A,label_B,note
P01,coast,relation,灰锚港,,,位于其下游 → 磨坊镇,"灰锚港位于东部河口，磨坊镇沿同一河流居中而上，故灰锚港水源受磨坊镇影响",,,
P02,coast,relation,盐沼村,,,路程不超过 2 天 → 灰锚港,"渔村作为港口的附属聚落，应在数日行程内可达灰锚港",,,
P03,coast,relation,石冢堡,,,路程不超过 3 天 → 北钟镇,"要塞需在数日内驰援或呼应北部小城以形成防御体系",,,
P04,kingdom,requirement,白塔城,城市,中,交通通达,"王都作为全国枢纽应位于交通便利之地",,,
P05,kingdom,requirement,铁门堡,要塞,北,易守难攻,"山下要塞需扼守险要以御北方",,,
P06,kingdom,requirement,狼口关,要塞,东,易守难攻,"山口关隘须占据地势要冲以控扼通道",,,
P07,kingdom,requirement,琥珀集,城镇,东北,交通通达,"作为集市城镇需处于易达之地以利贸易往来",,,
P08,kingdom,requirement,麦浪村,村庄,西,临河,"麦浪之名暗示农耕灌溉，村庄应临河而立",,,
P09,kingdom,relation,潮湾,,,位于其下游 → 白塔城,"河流向南入海，王都居上游，潮湾处河口下游",,,
P10,kingdom,relation,铁门堡,,,路程不超过 5 天 → 白塔城,"边塞要与王都保持补给和调兵联系",,,
P11,kingdom,relation,狼口关,,,路程不超过 5 天 → 白塔城,"关隘需与王都保持军情联络",,,
P12,kingdom,relation,芦苇渡,,,路程不超过 4 天 → 白塔城,"河边渡口村庄依赖王都的贸易往来",,,
P13,kingdom,relation,琥珀集,,,路程不超过 5 天 → 白塔城,"集市城镇作为贸易节点需接近王都",,,
P14,island,requirement,鲸骨村,村庄,北,临海,"渔村依赖海岸捕鱼，故推断其临海",,,
P15,island,requirement,钟隐村,村庄,中,易守难攻,"修道院村落常选易守难攻之地以求清修与安全",,,
P16,island,requirement,稻田镇,城镇,南,交通通达,"稻米贸易需要便利的交通以运输粮食",,,
P17,island,relation,稻田镇,,,位于其下游 → 钟隐村,"稻田镇位于南部河边，水源自中部山脚流下，途经钟隐村",,,
P18,island,relation,钟隐村,,,路程不超过 3 天 → 落潮港,"修道院需与港口保持可达的联系以获取物资",,,
P19,impossible,requirement,石屋村,村庄,南,易守难攻,"靠山村落地势天然易守，符合依山而建的选址逻辑",,,
P20,impossible,requirement,驼铃集,城镇,西,交通通达,"集镇以商贸往来为生，需处于通行便利之地方能兴旺",,,
